Nome: SAO SIMAO
Codigo Estacao: 83669
Latitude: -21.46111111
Longitude: -47.57944443
Altitude: 620.02
Situacao: Operante
Data Inicial: 2019-01-01
Data Final: 2023-09-08
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2019-05-13;3,3;8,9;0;32,3;null;null;72,5;57;,666667;
2019-05-14;3;5,7;0;30,4;null;null;78,75;59;,666667;
2019-05-15;2;2,8;0;26,5;null;null;80,75;64;1;
2019-05-16;2;8,2;0;27,7;null;null;76,25;56;1,666667;
2019-05-17;4,8;2,8;,8;23;null;null;87;74;0;
2019-05-18;2;5,8;,7;26,7;null;null;92,5;81;0;
2019-05-19;3,7;8;3;28,5;null;null;75,25;49;,666667;
2019-05-20;2,9;7,8;0;27,7;null;null;75,5;44;,333333;
2019-05-21;3,2;8,7;0;29,2;null;null;69,75;38;,333333;
2019-05-22;4,4;9,3;0;29,6;null;null;71;36;0;
2019-05-23;4;7;0;30,7;null;null;64,75;38;,333333;
2019-05-24;3,8;1,9;0;26,8;null;null;73,75;65;,666667;
2019-05-25;2,6;8,1;,6;23,1;null;null;74,25;47;,333333;
2019-05-26;2,6;9,3;0;26,7;null;null;67;40;,333333;
2019-05-27;3,8;9,2;0;29,7;null;null;66,75;39;0;
2019-05-28;4,3;8,8;0;30,9;null;null;70;43;0;
2019-05-29;4;7,9;0;31,3;null;null;74,5;50;,333333;
2019-05-30;3,4;8,8;0;31,7;null;null;73;44;1;
2019-05-31;4,5;8,5;0;31,7;null;null;67,5;47;,333333;
2019-06-01;5,4;9;0;31,5;null;null;70,25;43;,666667;
2019-06-02;5,1;7,1;0;30,3;null;null;76;58;,666667;
2019-06-03;4,1;,2;0;20,6;null;null;93;84;1;
2019-06-04;,7;8,4;9,6;21,9;null;null;74,25;58;1,666667;
2019-06-05;4,8;9,4;0;23,5;null;null;68,25;48;1;
2019-06-06;5,1;9,7;0;25,5;null;null;58,75;46;2;
2019-06-07;4,6;9;0;27;null;null;70,25;47;,666667;
2019-06-08;3,1;7,7;0;25,7;null;null;73,25;47;1;
2019-06-09;3,8;8,8;0;26,7;null;null;54,5;46;1,666667;
2019-06-10;7,8;9,4;0;27,1;null;null;64;40;1,666667;
2019-06-11;6,1;9,2;0;28,7;null;null;65;42;,666667;
2019-06-12;3,7;8,9;0;29,5;null;null;53,75;47;0;
2019-06-13;4;7,8;0;29,8;null;null;63,75;43;0;
2019-06-14;5,7;8,8;0;30,3;null;null;60,5;40;,666667;
2019-06-15;5,6;9,1;0;29,7;null;null;56,5;38;1;
2019-06-16;5,5;8,5;0;29,5;null;null;67,25;42;,666667;
2019-06-17;3,7;5,5;0;27,8;null;null;58,25;46;,333333;
2019-06-18;4,6;7,2;0;28,9;null;null;69,5;45;2,266667;
2019-06-19;3,9;6,4;0;29,9;null;null;72,25;47;,333333;
2019-06-20;3,8;8,8;0;29,3;null;null;72;48;,666667;
2019-06-21;4;9,1;0;28,1;null;null;67;45;1,666667;
2019-06-22;4,7;8,9;0;27,7;null;null;66,25;43;1,333333;
2019-06-23;4,2;8,6;0;28;null;null;70,25;44;,333333;
2019-06-24;3,8;9;0;28,7;null;null;67,25;43;,333333;
2019-06-25;5;6,9;0;30,1;null;null;65;42;,333333;
2019-06-26;5,6;8,2;0;31,1;null;null;61,25;35;1;
2019-06-27;6,9;6,6;0;30,4;null;null;68,25;42;0;
2019-06-28;4,8;9,1;0;31,1;null;null;58;38;,666667;
2019-06-29;5,7;9,5;0;30,7;null;null;61;36;0;
2019-06-30;5,4;9,7;0;30,9;null;null;64,75;37;,333333;
2019-07-01;5,1;8,3;0;30,5;19,6;12;66,25;44;0;
2019-07-02;5,6;3,9;0;29,3;18,64;9,8;65;42;,333333;
2019-07-03;4,8;5,4;0;31;20,62;12;59,25;38;,666667;
2019-07-04;5,6;4,1;0;28,3;20,26;15;74;47;1,333333;
2019-07-05;3,1;0;16,1;21,3;16,44;13,8;88;80;,666667;
2019-07-06;1;8,2;1,2;19,4;12,92;8,3;63,5;42;,666667;
2019-07-07;3,5;9,4;0;20,7;12,22;3,6;54,5;35;1;
2019-07-08;6,5;9,6;0;24,7;16,36;7,8;51,25;41;1,666667;
2019-07-09;6,5;9,6;0;26,5;17,04;11,5;58;38;,666667;
2019-07-10;5,5;9,5;0;27,5;16,7;9,6;59,5;31;1;
2019-07-11;4,2;9;0;27,3;16,24;9;65;37;,666667;
2019-07-12;4,2;9,3;0;29,9;17,24;8,6;63,25;30;,666667;
2019-07-13;5,5;8,9;0;30,4;19,92;9,8;61,25;47;0;
2019-07-14;4,5;8,9;0;31,1;20;12;53;28;,666667;
2019-07-15;5,5;7,2;0;31,6;22,44;13,4;47,5;31;1;
2019-07-16;5,8;6,6;,8;26,3;18,42;14,6;72;54;1;
2019-07-17;3,7;8,8;0;23,4;14,28;6,3;53,25;37;1,333333;
2019-07-18;7,3;7,5;0;25,1;18,5;12;49,75;45;3;
2019-07-19;9,4;9,3;0;26,4;19,36;13,7;51,25;38;2,333333;
2019-07-20;7,4;9,7;0;26,3;19,02;9,9;50;40;1,333333;
2019-07-21;7,4;7,9;0;27,5;19,94;11,5;52,75;40;1;
2019-07-22;6,4;3,4;0;28,9;21,76;13,8;51,75;40;,666667;
2019-07-23;5,5;8,9;0;29,3;19,62;12,8;60,25;35;0;
2019-07-24;5,6;9,7;0;30,9;20,42;11,6;58,5;35;,333333;
2019-07-25;5,5;7,7;0;30;21,4;12,5;51,25;39;1,333333;
2019-07-26;10,6;8,9;0;29,9;22,48;13,2;45,75;34;1,333333;
2019-07-27;4,9;9,6;0;30,1;21,04;13,4;48;30;,666667;
2019-07-28;7;9,5;0;28,7;20,38;10,4;48,25;35;,333333;
2019-07-29;7,7;5,6;0;28,4;22,22;15,4;50,75;48;,333333;
2019-07-30;5,8;6,8;0;30,9;20,38;12,9;64;35;,666667;
2019-07-31;5;9,1;1,4;30,2;19,06;10,5;61,5;36;,666667;
