,Accuracy
622,72.24880382775119
623,72.24880382775119
624,73.20574162679426
625,71.29186602870813
626,71.29186602870813
627,73.20574162679426
628,71.77033492822966
629,71.29186602870813
630,73.20574162679426
631,71.29186602870813
632,70.81339712918661
633,72.24880382775119
634,73.20574162679426
635,72.72727272727273
636,72.72727272727273
637,70.33492822966507
638,68.42105263157895
639,72.24880382775119
640,69.377990430622
641,70.81339712918661
642,69.377990430622
643,70.81339712918661
644,71.29186602870813
645,71.77033492822966
646,73.68421052631578
647,71.77033492822966
648,70.33492822966507
649,74.16267942583733
650,69.377990430622
651,70.33492822966507
652,72.24880382775119
653,72.72727272727273
654,69.85645933014354
655,69.85645933014354
656,72.24880382775119
657,71.29186602870813
658,70.33492822966507
659,71.29186602870813
660,68.42105263157895
661,69.377990430622
662,72.72727272727273
663,70.33492822966507
664,72.24880382775119
665,71.77033492822966
666,71.29186602870813
667,71.77033492822966
668,69.377990430622
669,70.33492822966507
670,72.72727272727273
671,70.33492822966507
672,72.24880382775119
673,71.77033492822966
674,69.85645933014354
675,71.77033492822966
676,69.377990430622
677,70.81339712918661
678,70.81339712918661
679,70.81339712918661
680,69.377990430622
681,71.77033492822966
682,72.72727272727273
683,70.81339712918661
684,72.24880382775119
685,69.377990430622
686,70.81339712918661
687,71.29186602870813
688,72.24880382775119
689,71.29186602870813
690,70.33492822966507
691,72.24880382775119
692,68.89952153110048
693,73.68421052631578
694,72.24880382775119
695,70.81339712918661
696,71.77033492822966
697,69.85645933014354
698,74.64114832535886
699,70.81339712918661
700,72.24880382775119
701,72.24880382775119
702,73.20574162679426
703,71.29186602870813
704,69.85645933014354
705,70.33492822966507
706,73.20574162679426
707,73.68421052631578
708,72.72727272727273
709,72.72727272727273
710,70.81339712918661
711,72.72727272727273
712,71.29186602870813
713,70.33492822966507
714,70.33492822966507
715,70.33492822966507
716,72.72727272727273
717,70.33492822966507
718,73.20574162679426
719,70.81339712918661
720,70.33492822966507
721,71.77033492822966
722,70.81339712918661
723,70.33492822966507
724,71.77033492822966
725,73.68421052631578
726,67.46411483253588
727,68.89952153110048
728,70.33492822966507
729,72.72727272727273
730,69.85645933014354
731,72.24880382775119
732,71.77033492822966
733,69.377990430622
734,72.24880382775119
735,72.24880382775119
736,68.89952153110048
737,70.33492822966507
738,67.46411483253588
739,70.81339712918661
740,72.24880382775119
741,74.16267942583733
742,72.24880382775119
743,74.16267942583733
744,69.85645933014354
745,68.42105263157895
746,70.81339712918661
747,69.85645933014354
748,68.89952153110048
749,73.20574162679426
750,70.81339712918661
751,72.72727272727273
752,71.29186602870813
753,67.94258373205741
754,70.33492822966507
755,71.77033492822966
756,69.377990430622
757,73.20574162679426
758,70.33492822966507
759,68.89952153110048
760,71.29186602870813
761,73.20574162679426
762,69.85645933014354
763,71.29186602870813
764,70.33492822966507
765,67.94258373205741
766,71.29186602870813
767,70.33492822966507
768,69.377990430622
769,71.29186602870813
770,69.85645933014354
771,71.29186602870813
772,71.29186602870813
773,70.81339712918661
774,71.29186602870813
775,69.85645933014354
776,70.81339712918661
777,71.77033492822966
778,74.16267942583733
779,70.33492822966507
780,74.64114832535886
781,70.81339712918661
782,69.85645933014354
783,74.64114832535886
784,70.33492822966507
785,70.81339712918661
786,69.85645933014354
787,72.24880382775119
788,69.377990430622
789,72.24880382775119
790,70.81339712918661
791,72.24880382775119
792,72.24880382775119
793,74.64114832535886
794,71.29186602870813
795,72.24880382775119
796,70.33492822966507
797,69.85645933014354
798,73.20574162679426
799,70.81339712918661
800,71.29186602870813
801,71.29186602870813
802,69.85645933014354
803,72.24880382775119
804,73.20574162679426
805,71.77033492822966
806,70.81339712918661
807,70.81339712918661
808,71.29186602870813
809,71.77033492822966
810,74.16267942583733
811,70.33492822966507
812,70.33492822966507
813,69.85645933014354
814,68.89952153110048
815,69.85645933014354
816,70.81339712918661
817,70.33492822966507
818,71.29186602870813
819,72.24880382775119
820,72.24880382775119
821,71.29186602870813
822,69.377990430622
823,70.33492822966507
824,70.81339712918661
825,68.89952153110048
826,69.85645933014354
827,73.20574162679426
828,71.77033492822966
829,72.72727272727273
830,73.68421052631578
831,71.29186602870813
832,72.24880382775119
833,71.29186602870813
834,73.20574162679426
835,75.11961722488039
836,72.72727272727273
837,72.24880382775119
838,72.72727272727273
839,73.20574162679426
840,70.33492822966507
841,70.81339712918661
842,73.68421052631578
843,68.89952153110048
844,73.20574162679426
845,72.72727272727273
846,68.42105263157895
847,70.33492822966507
848,69.85645933014354
849,67.94258373205741
850,71.29186602870813
851,70.33492822966507
852,72.72727272727273
853,69.377990430622
854,70.81339712918661
855,71.29186602870813
856,70.33492822966507
857,72.24880382775119
858,69.85645933014354
859,71.77033492822966
860,71.29186602870813
861,68.42105263157895
